date,tavg_predicted,tavg
2022-06-23,15.059602,23.1
2022-06-24,23.77351,24.1
2022-06-25,14.769027,23.8
2022-06-26,14.187661,23.0
2022-06-27,17.82821,22.2
2022-06-28,16.299017,23.7
2022-06-29,16.662521,24.3
2022-06-30,25.018597,23.4
2022-07-01,23.2445,24.2
2022-07-02,14.202226,23.8
2022-07-03,15.74635,25.4
2022-07-04,23.572031,27.4
2022-07-05,15.379171,26.6
2022-07-06,16.036066,29.7
2022-07-07,16.349133,33.2
2022-07-08,18.911331,36.6
2022-07-09,16.345327,37.2
2022-07-10,29.656563,37.1
2022-07-11,19.13973,35.1
2022-07-12,27.309717,31.2
2022-07-13,15.764295,32.3
2022-07-14,13.529863,34.4
2022-07-15,26.862875,32.2
2022-07-16,29.465864,31.3
2022-07-17,24.301275,30.8
2022-07-18,16.53194,29.7
2022-07-19,19.933138,32.4
2022-07-20,22.20118,34.0
2022-07-21,15.980128,34.9
2022-07-22,24.538086,36.4
2022-07-23,20.124092,35.9
2022-07-24,22.01701,37.1
2022-07-25,16.60521,38.2
2022-07-26,18.897005,35.4
2022-07-27,17.798445,32.2
2022-07-28,24.349865,27.7
2022-07-29,16.488401,28.4
2022-07-30,21.39103,33.7
2022-07-31,16.55492,36.7
2022-08-01,15.816064,37.8
2022-08-02,18.491394,38.7
2022-08-03,21.819607,33.4
2022-08-04,17.652184,31.1
2022-08-05,29.736305,31.3
2022-08-06,22.59085,31.5
2022-08-07,24.484455,28.3
2022-08-08,19.7721,27.7
2022-08-09,19.642342,26.6
2022-08-10,25.264053,25.7
2022-08-11,21.879116,28.6
2022-08-12,15.921134,32.7
2022-08-13,17.219574,31.4
2022-08-14,18.169613,28.8
2022-08-15,15.531064,27.6
2022-08-16,24.734188,25.8
2022-08-17,22.1666,25.4
2022-08-18,16.68697,28.0
2022-08-19,21.47963,32.0
2022-08-20,18.659397,34.8
2022-08-21,24.365421,36.3
2022-08-22,19.13742,32.5
2022-08-23,21.26984,29.5
2022-08-24,23.97607,27.3
2022-08-25,22.487429,28.4
2022-08-26,21.172527,27.6
2022-08-27,24.215057,24.8
2022-08-28,24.810116,25.5
2022-08-29,19.37479,27.6
2022-08-30,19.538206,29.7
2022-08-31,16.387453,30.9
2022-09-01,26.93302,30.4
2022-09-02,22.845375,28.1
2022-09-03,22.046127,26.8
2022-09-04,18.949314,26.4
2022-09-05,23.21416,26.9
2022-09-06,21.923365,25.6
2022-09-07,20.245209,26.0
2022-09-08,21.149494,27.3
2022-09-09,17.724276,27.8
2022-09-10,21.74234,29.0
2022-09-11,20.73275,29.6
2022-09-12,20.427258,25.7
2022-09-13,15.406648,24.4
2022-09-14,16.283089,24.3
2022-09-15,21.516459,24.7
2022-09-16,20.822361,24.0
2022-09-17,14.180937,24.1
2022-09-18,24.243668,23.8
2022-09-19,17.95895,24.7
2022-09-20,12.885007,24.7
2022-09-21,18.005997,25.6
2022-09-22,17.82251,25.3
2022-09-23,21.590105,25.3
2022-09-24,14.675916,24.4
2022-09-25,19.112015,19.7
2022-09-26,16.863476,19.2
2022-09-27,21.581347,21.8
2022-09-28,18.664673,21.4
2022-09-29,21.857946,20.9
2022-09-30,15.112707,20.4
2022-10-01,24.071564,22.3
2022-10-02,22.966879,25.9
2022-10-03,17.743427,27.1
2022-10-04,19.251125,26.0
2022-10-05,16.099113,24.8
2022-10-06,20.192183,25.4
2022-10-07,13.820285,27.6
2022-10-08,14.566379,28.5
2022-10-09,15.579007,24.8
2022-10-10,19.250114,20.9
2022-10-11,20.549572,20.7
2022-10-12,20.72158,17.6
2022-10-13,17.683151,18.9
2022-10-14,20.240149,24.0
2022-10-15,21.882736,25.9
2022-10-16,16.680378,24.1
2022-10-17,15.301099,25.6
2022-10-18,15.741192,27.2
2022-10-19,21.383837,25.9
2022-10-20,17.928646,25.4
2022-10-21,19.405468,26.2
2022-10-22,13.015489,26.1
2022-10-23,16.437744,24.6
2022-10-24,16.699104,25.9
2022-10-25,15.397183,27.2
2022-10-26,19.130718,27.2
2022-10-27,13.307628,26.2
2022-10-28,15.157615,25.1
2022-10-29,16.612022,26.8
2022-10-30,19.402447,26.2
2022-10-31,12.641817,24.9
2022-11-01,16.278488,24.5
2022-11-02,15.300029,23.9
2022-11-03,13.043411,22.1
2022-11-04,11.664654,21.9
2022-11-05,13.589624,22.0
2022-11-06,13.256059,21.5
2022-11-07,18.102985,21.9
2022-11-08,14.3968115,21.6
2022-11-09,13.699999,20.6
2022-11-10,12.209413,20.1
2022-11-11,16.002583,20.2
2022-11-12,18.384972,21.5
2022-11-13,12.392828,21.5
2022-11-14,13.970563,21.2
2022-11-15,12.672705,21.6
2022-11-16,16.62965,20.7
2022-11-17,17.619396,19.1
2022-11-18,14.564851,18.2
2022-11-19,16.099836,16.4
2022-11-20,13.392707,15.7
2022-11-21,13.700057,17.3
2022-11-22,13.397351,17.6
2022-11-23,16.5945,18.7
2022-11-24,15.126391,18.6
2022-11-25,13.285096,19.5
2022-11-26,12.557829,19.8
2022-11-27,14.780076,20.0
2022-11-28,13.8704195,18.2
2022-11-29,14.779468,16.8
2022-11-30,11.2871685,15.4
2022-12-01,14.18012,13.3
2022-12-02,14.564538,15.1
2022-12-03,13.622283,15.9
2022-12-04,13.8256235,15.6
2022-12-05,13.505027,15.2
2022-12-06,10.95658,15.6
2022-12-07,13.52675,16.6
2022-12-08,10.872441,16.6
2022-12-09,12.66558,16.8
2022-12-10,15.222766,15.5
2022-12-11,12.122243,17.7
2022-12-12,14.053136,18.3
2022-12-13,13.8993225,19.7
2022-12-14,12.6195,18.7
2022-12-15,10.987885,15.2
2022-12-16,13.710084,15.2
2022-12-17,10.580674,14.7
2022-12-18,15.28065,15.4
2022-12-19,11.608991,16.1
2022-12-20,12.193072,15.9
2022-12-21,12.900401,15.7
2022-12-22,12.171931,16.1
2022-12-23,12.733211,16.8
2022-12-24,11.384972,16.8
2022-12-25,12.559417,16.3
2022-12-26,14.629976,15.6
2022-12-27,12.448341,15.5
2022-12-28,12.871076,15.2
2022-12-29,11.902317,15.0
2022-12-30,12.980616,15.4
2022-12-31,13.446989,15.7
